centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
FA50-35_1,5226033.274,5598600.316,-59,,,,-59,-58,-58,-62,,,,,,,,,-53,,,,
FA50-35_2,5230490.732,5515458.595,-56,,,,-54,-53,-53,-59,,,,,,,,,-49,,,,
FA80-40_2,5303740.684,5705982.731,-24,,,,-24,-21,-21,-35,,,,-32,,,,,,,,,
FA90-35_1,5222223.178,5706486.351,-21,,,,-23,-21,-21,-33,,,,,,,,,-6,,,,
FA90-30_1,5279921.394,5543159.418,-47,,,,-50,-50,-50,-52,,,,,,,,,-44,,,,
FAr100-40_1,5301272.812,5742952.268,-19,,,,-26,-28,-27,-32,,,,-40,,,,,,,,,
FAr100-40_2,5248543.176,5770517.153,-16,,,,-24,-25,-25,-27,,,,,,,,,-12,,,,
FAr100-40_8,5385373.954,5739352.643,32,,,,18,17,24,21,,,,9,,65,,,,,,,
FAr20-35_1,5307099.168,5876179.477,,175,,,175,181,192,175,,,,167,165,,,,,,167,,
FArL100-40_1,5694701.74,6115304.228,,-40,,,-50,-48,-48,-50,,,,-61,-23,,,,,,,,
FL100-45_3,5635947.016,5769247.209,48,,,,36,37,46,36,,,,30,,71,,,,,,,
FL100-40_10,5472017.784,5791768.835,46,,,,32,33,42,33,,,,25,,77,,,,,,,
FL100-40_11,5497017.486,5823262.391,49,,,,37,38,48,37,,,,32,,72,,,,,,,
FL100-40_5,5426378.155,5777823.472,22,,,,9,9,16,11,,,,2,,52,,,,,,,
FL100-40_15,5667819.264,6015754.365,,-15,,,-23,-17,-18,-25,,,,-34,-3,,,,,,,,
FL100-40_18,5648494.932,6092825.42,,-38,,,-46,-43,-43,-46,,,,-54,-24,,,,,,,,
FL100-50_25,5478124.493,6164158.34,,,,,-21,,,,,,,-44,,,-23,-30,,,-25,,
FL100-45_2,5663379.718,6109096.538,,-39,,,-47,-45,-46,-48,,,,-56,-25,,,,,,,,
FL100-40_24,5649500.536,6019856.969,,-15,,,-22,-17,-18,-25,,,,-34,-2,,,,,,,,
FL100-35_16,5525327.673,5826739.018,49,,,,37,38,48,37,,,,33,,72,,,,,,,
FL100-50_15,5515010.091,6120545.699,,,,,-6,,,,,,,-36,,,-15,-19,,,-16,,
FL100-55_6,5504173.512,6183171.637,,,,,-19,,,,,,,-43,,,-21,-28,,,-23,,
FL100-40_9,5701075.182,6048607.738,,-15,,,-23,-18,-18,-25,,,,-34,-3,,,,,,,,
FL100-35_27,5566571.702,6133255.659,,-36,,,-42,-39,-39,-43,,,,-51,-24,,,,,,,,
FL100-50_16,5528376.058,6181243.528,,,,,-21,,,,,,,-44,,,-22,-30,,,-25,,
FL100-40_13,5683867.769,6095855.353,,-36,,,-44,-42,-42,-45,,,,-53,-22,,,,,,,,
FL100-60_1,5464117.717,6287457.412,,,,,-17,,,,,,,-42,,,-20,-27,,,-22,,
FL100-60_2,5502198.69,6276936.165,,,,,-10,,,,,,,-37,,,-18,-23,,,-19,,
FL100-55_7,5519143.172,5899289.033,39,,,,32,34,44,31,,,,30,,54,,,,,,,
FL100-40_12,5537965.963,5985100.008,-5,,,,-15,-15,-8,-16,,,,-21,,20,,,,,,,
FL100-55_1,5314607.568,5751836.777,-16,,,,-21,-22,-21,-28,,,,-33,,,,,,,,,
FL100-55_13,5623368.964,5787419.863,54,,,,48,49,59,47,,,,41,,67,,,,,,,
FL100-50_14,5493541.085,5778768.69,42,,,,30,30,39,31,,,,23,,74,,,,,,,
FL100-40_8,5550276.255,5777789.21,52,,,,40,40,50,40,,,,33,,74,,,,,,,
FL100-35_29,5370081.671,5920924.986,,12,,,5,9,11,4,,,,-6,24,,,,,,,,
FL100-55_2,5268194.033,5774920.189,-13,,,,-20,-21,-21,-23,,,,-29,,,,,,,,,
FL100-55_15,5599869.273,6142181.022,,-40,,,-46,-44,-44,-47,,,,-55,-27,,,,,,,,
FL100-55_4,5383524.803,5778104.912,19,,,,8,8,13,10,,,,2,,44,,,,,,,
