centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
01alGOU_2,5518365.613,6136811.026,,,,,-11,-8,-14,-20,,,,-22,,,43,-2,,,32,,
01alGOU_3,5583754.683,6148956.913,,10,,,-21,-21,-28,-18,,,,-30,42,,,,,,,,
01alGOU_4,5419608.79,6244034.794,,,,,1,2,-3,-4,,,,-8,,,62,17,,,51,,
01alGOU_5,5479071.673,6250720.328,,,,,-11,-7,-13,-18,,,,-19,,,47,1,,,35,,
01alMDQ_1,5460445.457,5932003.42,16,,,,-7,-16,-21,4,,,,-14,,43,,,,,,,
01alMDQ_10,5523230.237,5751074.533,50,,,,24,12,5,37,,,,8,,75,,,,,,,
01alMDQ_11,5536881.504,5722283.228,51,,,,26,15,7,38,,,,12,,75,,,,,,,
01alMDQ_12,5577945.5,5766255.244,46,,,,22,11,4,33,,,,9,,69,,,,,,,
01alMDQ_13,5582767.518,5731580.397,45,,,,21,11,4,33,,,,9,,69,,,,,,,
01alMDQ_2,5504966.74,5895945.043,30,,,,6,-3,-9,18,,,,-1,,55,,,,,,,
01alMDQ_3,5573651.77,5883213.743,28,,,,4,-5,-11,16,,,,-8,,54,,,,,,,
01alMDQ_4,5617014.906,5757823.772,45,,,,21,11,4,33,,,,9,,69,,,,,,,
01alMDQ_5,5650576.577,5755581.444,43,,,,20,10,3,31,,,,9,,67,,,,,,,
01alMDQ_6,5622012.634,5840861.417,45,,,,23,13,6,34,,,,8,,68,,,,,,,
01alMDQ_7,5644656.22,5810820.042,46,,,,24,14,8,34,,,,10,,68,,,,,,,
01alMDQ_8,5694096.763,5795235.666,48,,,,30,22,16,38,,,,22,,67,,,,,,,
01alMDQ_9,5448372.545,5721402.841,49,,,,23,11,4,36,,,,5,,74,,,,,,,
01alMER_1,5557373.072,6177342.613,,,,,-9,-10,-15,-16,,,,-22,,,44,2,,,34,,
01alOZR_1,5332173.165,6150955.295,,,,,-14,-11,-17,-22,,,,-24,,,36,-3,,,27,,
01alOZR_10,5411755.942,6141745.918,,,,,-6,0,-7,-16,,,,-14,,,44,3,,,35,,
01alOZR_11,5408049.975,6186019.942,,,,,-12,-8,-14,-20,,,,-22,,,40,-2,,,30,,
01alOZR_12,5432941.35,6163741.257,,,,,-14,-10,-16,-22,,,,-24,,,38,-3,,,28,,
01alOZR_13,5256661.636,6122996.911,,,,,-11,-9,-14,-20,,,,-22,,,36,-2,,,26,,
01alOZR_14,5228480.958,6107426.135,,,,,-9,-7,-12,-18,,,,-20,,,37,-1,,,28,,
01alOZR_15,5299187.638,6115077.63,,,,,-11,-10,-15,-19,,,,-24,,,39,0,,,29,,
01alOZR_16,5245422.809,6179101.045,,,,,-6,-3,-9,-16,,,,-17,,,37,0,,,28,,
01alOZR_2,5351055.665,6105723.075,,,,,-13,-10,-16,-21,,,,-23,,,36,-3,,,27,,
01alOZR_3,5363303.342,6072802.238,,,,,-14,-11,-16,-22,,,,-22,,,33,-4,,,24,,
01alOZR_4,5385442.35,6045534.738,,,,,-14,-8,-14,-23,,,,-15,,,34,-5,,,25,,
01alOZR_5,5416054.357,6068448.462,,,,,-13,-7,-13,-22,,,,-15,,,36,-4,,,27,,
01alOZR_6,5429793.298,6101809.463,,,,,-15,-10,-17,-23,,,,-22,,,35,-4,,,26,,
01alOZR_7,5465453.58,6073574.597,,,,,-15,-9,-15,-24,,,,-16,,,33,-6,,,24,,
01alOZR_8,5509985.407,6091624.523,,,,,-13,-9,-15,-22,,,,-22,,,38,-3,,,28,,
01alOZR_9,5379805.739,6163323.433,,,,,-15,-11,-17,-22,,,,-24,,,35,-4,,,26,,
01alPER_1,5438147.315,6259012.035,,,,,2,3,-2,-3,,,,-8,,,61,20,,,51,,
01alPER_2,5419962.447,6306891.568,,,,,1,7,-4,-8,,,,-13,,,57,15,,,48,,
01alSAL_1,5534448.836,6063553.515,,18,,,-11,-8,-18,-7,,,,-10,41,,,,,,,,
